coating_code,coating_modifier,descriptor_count_used
193-MAT-146,-0.04570510664543051,4
193-MAT-147,-0.137479818978642,4
193-MAT-148,-0.09674179203917287,4
193-MAT-149,-0.06676584394078082,4
193-MAT-150,-0.04514975671226978,4
193-MAT-151,-0.04589090752623788,4
193-MAT-152,-0.045275939481134314,4
193-MAT-153,-0.031900570307106156,4
193-MAT-154,-0.015472194956535491,4
193-MAT-155,-0.016143430250609492,4
193-MAT-156,-0.06970464801227472,3
193-MAT-157,0.012676895009281042,3
193-MAT-158,-0.01420168090518581,4
193-MAT-159,-0.012427750051735999,4
193-MAT-160,-0.02262832854116985,4
193-MAT-161,-0.03551311757422875,4
193-MAT-162,-0.035268227408405455,4
193-MAT-163,-0.03233536674694953,4
193-MAT-164,-0.029378065980265246,4
193-MAT-165,-0.021859791708429645,4
193-MAT-166,-0.017940190909595245,4
193-MAT-167,0.048184243190594694,4
193-MAT-168,0.03150961640286085,4
193-MAT-169,-0.005973704805953073,3
193-MAT-170,-0.014057025713986683,3
193-MAT-171,0.04013301670990854,4
193-MAT-172,0.15266890171156178,4
193-MAT-173,0.06315887711559243,4
193-MAT-174,0.06371303677791622,4
193-MAT-175,0.05314691933209379,4
193-MAT-176,0.08995117247019224,4
193-MAT-177,0.07677658058034426,4
193-MAT-178,0.035142524147709735,4
193-MAT-179,0.06754472645499199,4
193-MAT-180,0.04521546493796964,4
193-MAT-181,0.04581717443498215,4
193-MAT-182,0.06547565883060678,4
193-MAT-183,0.12200326857374,4
193-MAT-184,0.11496574675116765,4
193-MAT-185,0.05281849331793431,4
193-MAT-186,0.09260155328687425,4
193-MAT-187,0.0940229147139497,3
