,HEAT FLUX,TIME TO IGN,END OF TEST TIME,SPECIMEN MASS,SURF AREA,risk_score
HEAT FLUX,1.0,-0.414603619019489,-0.12421306641206102,-0.03503445715453978,0.02507544785983987,0.858978462455413
TIME TO IGN,-0.414603619019489,1.0,0.2101715122540557,0.10805146986762287,-0.0047028202367898585,-0.5809099518393894
END OF TEST TIME,-0.12421306641206102,0.2101715122540557,1.0,0.6943987537937942,0.13297948899933637,-0.10070148181334723
SPECIMEN MASS,-0.03503445715453978,0.10805146986762287,0.6943987537937942,1.0,0.18254953350999215,0.00020593509241350572
SURF AREA,0.02507544785983987,-0.0047028202367898585,0.13297948899933637,0.18254953350999215,1.0,0.4579544075024954
risk_score,0.858978462455413,-0.5809099518393894,-0.10070148181334723,0.00020593509241350572,0.4579544075024954,1.0
