proxy,material_type,mean,std
phase1_proxy,composite,64.82201655408659,11.903217311909103
phase1_proxy,generic,62.20822685282146,11.01581935043212
phase1_proxy,polymer,61.95082981265512,12.476946842978228
pca_proxy,composite,77.12022722200051,18.12070789295144
pca_proxy,generic,78.51223327903466,14.62665150508251
pca_proxy,polymer,85.14285427804136,9.963886783941492
reg_proxy,composite,58.57912055805326,17.42420774233387
reg_proxy,generic,59.2571816471832,16.046098432993368
reg_proxy,polymer,63.18846978110833,15.243486312576255
